Name,Latitude,Longitude,Number of Free Bikes,Rest/Bar Rating(FS),Average Distance_Bar_x,Average Distance_Gym_x,Rest/Bar Rating(YELP),Average Distance_Bar_y,Average Distance_Gym_y
Parc Anet-Gomin,46.786588174519565,-71.25823142456434,5,"0    8.1
1    NaN
2    8.5
3    7.0
4    7.7
5    NaN
6    8.2
7    8.1
8    7.8
9    NaN
Name: rating, dtype: float64",711.3,777.125,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.0
5     4.0
6     4.5
7     4.5
8     4.5
9     3.5
10    3.5
11    3.0
12    3.5
13    3.5
14    4.0
15    5.0
16    4.5
17    3.5
18    3.5
19    4.0
Name: rating, dtype: float64",877.11726034077,0.0
Sheppard / William,46.784040811002114,-71.24939086365126,4,"0    7.8
1    8.5
2    6.6
3    7.7
4    7.0
5    8.5
6    7.6
7    6.8
8    6.7
9    6.8
Name: rating, dtype: float64",355.2,142.0,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.0
5     4.5
6     4.5
7     5.0
8     5.0
9     3.5
10    3.5
11    3.5
12    4.0
13    3.5
14    5.0
15    2.5
16    3.5
17    4.0
18    4.0
19    3.5
Name: rating, dtype: float64",334.6887038189146,0.0
ExpoCité - Grand Marché,46.8294326924675,-71.24406570853023,4,"0    8.1
1    NaN
2    NaN
3    NaN
4    6.0
5    NaN
6    7.0
7    NaN
8    NaN
9    NaN
Name: rating, dtype: float64",302.2,701.8571428571429,"0     5.0
1     4.5
2     5.0
3     5.0
4     4.0
5     4.5
6     4.0
7     3.0
8     5.0
9     5.0
10    2.0
11    5.0
12    3.5
13    4.0
14    3.5
15    4.5
16    3.0
17    2.0
18    5.0
19    4.0
Name: rating, dtype: float64",775.248807597766,960.4405522184234
Lavigueur / Sainte-Geneviève,46.81240304152266,-71.22041093634985,7,"0    9.1
1    8.6
2    8.5
3    8.9
4    9.0
5    8.8
6    8.8
7    9.0
8    8.8
9    8.4
Name: rating, dtype: float64",376.9,568.8,"0     4.0
1     4.5
2     5.0
3     4.0
4     4.5
5     4.5
6     4.5
7     4.0
8     4.0
9     4.0
10    4.5
11    4.5
12    4.0
13    4.5
14    4.5
15    4.5
16    5.0
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",526.0953035230316,596.6843599357068
ExpoCité - Place Jean-Béliveau,46.826552659765404,-71.24597805079398,4,"0    8.1
1    9.1
2    NaN
3    NaN
4    NaN
5    NaN
6    NaN
7    6.5
8    6.5
9    NaN
Name: rating, dtype: float64",395.1,608.5,"0     5.0
1     5.0
2     4.5
3     4.0
4     5.0
5     4.5
6     3.5
7     3.5
8     5.0
9     2.0
10    5.0
11    3.0
12    4.5
13    5.0
14    2.0
15    4.0
16    4.0
17    3.0
18    4.0
Name: rating, dtype: float64",772.1520877859537,0.0
ULaval - Ferdinand-Vandry,46.77853060014388,-71.27677889990233,12,"0    8.1
1    8.5
2    7.8
3    NaN
4    NaN
5    8.4
6    NaN
7    7.6
8    8.6
9    8.5
Name: rating, dtype: float64",668.5,822.125,"0     4.0
1     4.0
2     5.0
3     4.0
4     3.5
5     3.5
6     3.5
7     4.0
8     3.0
9     3.0
10    4.0
11    4.0
12    4.0
13    3.5
14    5.0
15    4.5
16    4.0
17    3.5
18    5.0
19    3.0
Name: rating, dtype: float64",918.28704299859,872.2428345154256
Cégep de Sainte-Foy,46.786167,-71.285878,8,"0    8.2
1    8.4
2    8.1
3    8.6
4    7.4
5    7.7
6    7.1
7    7.6
8    8.0
9    NaN
Name: rating, dtype: float64",359.6,389.2,"0     5.0
1     3.5
2     3.0
3     4.0
4     4.0
5     4.0
6     3.5
7     5.0
8     5.0
9     4.0
10    3.5
11    2.5
12    3.5
13    5.0
14    4.5
15    4.5
16    3.0
17    4.0
18    2.5
19    3.5
Name: rating, dtype: float64",370.9730483069712,464.4681120778433
Pente-Douce / Montmagny,46.804262124158974,-71.23915287184141,8,"0    7.7
1    7.8
2    7.9
3    5.7
4    8.1
5    6.1
6    7.4
7    8.0
8    6.9
9    6.6
Name: rating, dtype: float64",440.7,581.1,"0     4.5
1     4.5
2     4.5
3     5.0
4     4.5
5     4.5
6     4.5
7     4.5
8     4.5
9     4.0
10    4.0
11    4.0
12    4.5
13    4.5
14    4.5
15    5.0
16    4.5
17    4.5
18    4.0
19    4.5
Name: rating, dtype: float64",981.863359958014,0.0
La Cité Verte,46.79674647001209,-71.25180753397368,5,"0    7.3
1    8.2
2    8.1
3    6.9
4    6.4
5    6.9
6    6.4
7    6.8
8    NaN
9    NaN
Name: rating, dtype: float64",390.8,578.2,"0     4.5
1     3.5
2     5.0
3     4.5
4     4.0
5     5.0
6     2.5
7     4.0
8     4.0
9     2.5
10    1.0
11    2.5
Name: rating, dtype: float64",540.7218572382866,0.0
Parc Saint-Charles-Garnier,46.78608679238198,-71.25134619402311,7,"0    7.8
1    6.6
2    8.5
3    8.8
4    7.0
5    7.7
6    NaN
7    NaN
8    6.7
9    8.5
Name: rating, dtype: float64",502.1,0.0,"0     4.5
1     4.5
2     4.5
3     4.5
4     4.0
5     4.0
6     4.5
7     5.0
8     4.5
9     5.0
10    3.5
11    3.5
12    3.5
13    3.5
14    4.0
15    3.5
16    4.5
17    2.5
18    4.0
19    3.5
Name: rating, dtype: float64",573.0285467676963,0.0
