Name,Latitude,Longitude,Number of Free Bikes
Parc Anet-Gomin,46.786588174519565,-71.25823142456434,5
Sheppard / William,46.784040811002114,-71.24939086365126,4
ExpoCité - Grand Marché,46.8294326924675,-71.24406570853023,4
Lavigueur / Sainte-Geneviève,46.81240304152266,-71.22041093634985,7
ExpoCité - Place Jean-Béliveau,46.826552659765404,-71.24597805079398,4
ULaval - Ferdinand-Vandry,46.77853060014388,-71.27677889990233,12
Cégep de Sainte-Foy,46.786167,-71.285878,8
Pente-Douce / Montmagny,46.804262124158974,-71.23915287184141,8
La Cité Verte,46.79674647001209,-71.25180753397368,5
Parc Saint-Charles-Garnier,46.78608679238198,-71.25134619402311,7
Musée national des beaux-arts,46.8014574117429,-71.22620529593462,7
Parc de l'Esplanade,46.81083682977029,-71.21174416734335,3
Père-Marquette / Belvédère,46.7984764758592,-71.2399580535144,9
Château Frontenac,46.8113080501692,-71.20505394863508,7
Parc Montmorency,46.813879991851834,-71.20484575502414,6
Place des Canotiers,46.81490294468334,-71.20134408792657,10
Cégep Limoilou,46.829355,-71.229428,12
Gare du Palais,46.81748363513417,-71.21286931253941,7
3e Avenue / 7e Rue,46.82472635206527,-71.22830601858517,13
Traverse,46.812146312979735,-71.20227632353003,3
Place D’Youville,46.81230646289787,-71.21437238651318,5
De la Trinité / De Villebon,46.834044048889574,-71.22124108003996,5
Cardinal-Rouleau / Raymond-Casgrain,46.79757149554302,-71.24463530706785,8
13e Rue / 1ère Avenue,46.827114873941426,-71.23470697516585,2
De Prével / Quatre-Bourgeois,46.78425018789264,-71.28444465326689,13
Hôpital de l'Enfant-Jésus,46.83822969588059,-71.22451224173356,11
Patro Roc-Amadour,46.833607,-71.242095,10
Bourdon / 1ère Avenue,46.830463968878064,-71.23852523493193,7
11e Rue / 3e Avenue,46.82705982745014,-71.23070659565352,13
7e Rue / 6e Avenue,46.82613489140135,-71.22456701921843,12
Myrand / Géronce-Gariépy,46.784158356023376,-71.26362534689329,9
3e Rue / 3e Avenue,46.822100909007546,-71.22555066618058,3
De Callières / Marguerite-Bourgeoys,46.79135483991666,-71.25262917355235,6
De Callières / Ernest-Gagnon,46.79385586285797,-71.24822022667655,8
Maguire / Sheppard,46.78194791566562,-71.25260951446913,9
Parc du Bois-de-Coulonge,46.78924450706438,-71.2442994386663,6
Parc Saint-Matthew,46.81109708055996,-71.21760167732813,10
Parc de la Pointe-aux-Lièvres,46.82117479531745,-71.23453194398171,8
Parc Victoria,46.815057,-71.235443,12
Saint-Joseph / Saint-Anselme,46.81258598277751,-71.22973499957455,7
Hélène-Boullé / Du Bon-Air,46.78938334025807,-71.26476528572462,5
Saint-Germain / Boisseau,46.80927496016057,-71.23850645946882,10
YMCA Saint-Roch,46.813662299909325,-71.21920394229315,6
Fraser / Cartier,46.803790282177374,-71.22581692861937,18
Collège Mérici,46.79652641037149,-71.2328549657563,10
Bibliothèque Collège-des-Jésuites,46.795135745934004,-71.2434363596382,8
ULaval - Alphonse-Desjardins,46.7795830939878,-71.2706339590492,7
Cégep Garneau,46.79273110396984,-71.26363071131132,6
Hôtel de Ville,46.813929383721586,-71.20884793328665,0
Parc Lockwell,46.80618864587998,-71.22686526215266,4
Père-Marquette / Des Érables,46.80358373526056,-71.231244378561,23
Bassin Louise,46.817650062860366,-71.20873930382155,7
Raoul-Jobin / Marie-de-l'Incarnation,46.807598406228216,-71.24416592049025,5
Parc Bardy,46.84274855398623,-71.22500825686221,7
ULaval - Charles-De Koninck,46.78171842970272,-71.2742233208467,6
Parc Myrand,46.787372378242026,-71.26640411543272,5
Parc de l'Anse-à-Cartier,46.82497869,-71.2347588,5
Brown / Père-Marquette,46.80106563508459,-71.23540046142958,9
Eymard / Sainte-Foy,46.793318961169156,-71.25832027273796,6
Place Roger-Lemelin,46.8070057051584,-71.2360961572326,14
Perrault / 24e Rue,46.840967,-71.232018,6
Église Saint-Jean-Baptiste,46.808995790506394,-71.22241758851497,5
Parc John-Munn,46.81788381582096,-71.21899632428105,4
Signaï / Christophe-Colomb,46.80985414622597,-71.23170705961607,10
Murray / Sainte-Foy,46.801147339783896,-71.23864794599436,7
Domaine de Maizerets,46.836559019801065,-71.21610130059433,8
Patro Laval,46.81231722364255,-71.24216566311739,12
Parc de la Francophonie,46.807752157533336,-71.21574255155943,17
Grand Théâtre de Québec,46.806292,-71.221078,2
Place Jacques-Cartier,46.81433964390105,-71.22489827203177,14
Bourdages / Monseigneur-Plessis,46.8166055540926,-71.24165805506132,10
ULaval - PEPS,46.7832051319681,-71.27618881391905,4
Église Saint-Sauveur,46.811547610115674,-71.23538839148901,8
La Fabrique,46.8123909612413,-71.22577898939863,9
